Season,Trend Item,Category,Color,Fabric,Previous Popularity,Social Buzz,Trend Score
SS21,Denim Mini Skirt,Bottom,Blue,Denim,9.0,84,8.7
SS21,Leather Trench Coat,Outerwear,Brown,Leather,7.0,58,6.4
SS21,Crochet Top,Top,White,Cotton,5.3,78,6.8
SS21,Cargo Pants,Bottom,Green,Cotton,7.4,38,6.1
SS21,Oversized Blazer,Outerwear,Black,Wool,5.4,52,5.7
SS21,Satin Slip Dress,Dress,Red,Satin,7.2,23,5.2
SS21,Platform Boots,Shoes,Black,Leather,8.0,25,5.4
SS21,Bucket Hat,Accessory,Beige,Canvas,4.4,81,6.5
SS21,Puffer Jacket,Outerwear,White,Polyester,7.5,45,5.9
SS21,Maxi Skirt,Bottom,Navy,Silk,8.9,49,6.8
SS21,Knit Vest,Top,Grey,Wool,5.6,90,7.1
SS21,Sheer Blouse,Top,Cream,Silk,8.0,60,6.6
SS21,Tulle Skirt,Bottom,Pink,Tulle,4.4,46,4.6
SS21,Ballet Flats,Shoes,Blush,Leather,6.6,58,6.3
SS21,Techwear Jacket,Outerwear,Charcoal,Nylon,9.3,32,6.1
SS21,Denim Jumpsuit,One-piece,Indigo,Denim,8.9,41,7.2
SS21,Sequin Crop Top,Top,Silver,Sequin,8.4,80,8.6
SS21,Faux Fur Coat,Outerwear,Ivory,Faux Fur,4.1,82,6.2
SS21,Wide-Leg Trousers,Bottom,Camel,Linen,4.5,28,3.7
SS21,Statement Belt,Accessory,Gold,Metal,4.1,63,5.2
FW21,Denim Mini Skirt,Bottom,Blue,Denim,4.4,39,4.2
FW21,Leather Trench Coat,Outerwear,Brown,Leather,6.8,32,5.1
FW21,Crochet Top,Top,White,Cotton,4.5,23,4.0
FW21,Cargo Pants,Bottom,Green,Cotton,8.4,34,6.2
FW21,Oversized Blazer,Outerwear,Black,Wool,7.7,74,7.6
FW21,Satin Slip Dress,Dress,Red,Satin,5.3,20,3.3
FW21,Platform Boots,Shoes,Black,Leather,4.9,42,4.2
FW21,Bucket Hat,Accessory,Beige,Canvas,8.7,53,7.3
FW21,Puffer Jacket,Outerwear,White,Polyester,4.7,67,5.7
FW21,Maxi Skirt,Bottom,Navy,Silk,4.5,76,6.2
